reviews,label
"kemeja nya bagusss bgtttt😍😍😍aaaa mauuu nngisssss😩😩😩knpa ga dri dlu beli kemeja ditoko ini😜, ini kemejanya asli emg bagus, bahannya jga adem ga gerah,and ga nerawang jga... itu krna camera nya jelek jdi ga trlalu jelas kemejanya.. asliny baguss bgttt ga bhong sumpah",1.0
"Jahitannya sih rapi,cuman ada benang yang ikut ke jahit juga jadi agak jelek",0.0
Sesuai harga. Agak tipis tapi masih oke kok. Warnanya abu tapi kalo difoto emang kayak biru dikit. Thanks sellerr,0.0
"Wah gila sihhh sebagus itu, se worth it, se  lembut itu bajunya,,,, kirain bakal terlalu tipis ky kemeja ku yg lama ternyata sedikit ky kaos bajunya baklgus bettt dah dgn harga segitu sih worth it thankyou yh,, next bakal order lgi",1.0
"Kain nya bagus halus  
Tapi kok di bukak kotor ya warna putih lagi",0.0
"baguss dehh dengan harga segitu kainnya juga ga tipis"" banget dan ga tebel"" banget, kalo putih emang harus pake daleman biar ga nerawang bagussss pengiriman juga ga lama",1.0
Harga mahal bahan tipis banget. Pengiriman lama. Tapi warna realpict. Maaf fotonya gak sesuai karena udah di cuci 🙏🙏,0.0
"puas bangett, awalnya takut jelek soalnya buat foto yearbook ternyata pas dateng bagusss!!",1.0
Agak kecewa sihh karna pesan warna FUSCHIA malah datengnya pink ... mohon di teliti lagi dong kak 😕,0.0
Maaf tak kasi bintang 3 karena tdk sesuai gambar.. Digambar menutupi bokong ternyata pas nyampe pendek banget padahal saya gak tinggi tinggi banget 158 cm... Pas pertama buka kancing lgsg lepas,0.0
"Baguss bgttt walau agak lama tapi setimpal dg barangnya, besok beli lagi deh xixi",1.0
terimakasih bajunya udah sampai belum di coba juga cuma pengiriman nya aja yg lama,0.0
"Realpict, bahan aga panas sesuai dengan harga. Pengemasan rapi, pengiriman agak lama padahal cuma beda kota, mungkin nunggu ready",0.0
Bahannya bagus siiiii tapi kependekannnnnn agak kecewa soalnya emang lagi butuhhhh............,0.0
Lambat bngt anjir gak dateng2,0.0
"Bahan ny tipis,untung ny milih wrn gelap,pas d badan.",0.0
Barang tak sesuai ekspektasi. Bahan berbeda dengan yg diinginkan dan contoh. Kurirnya juga gila. Ga nganter ke rumah. Disuruh ambil sendiri. Padahal milihnya sampe rumah bkn ambil sendiri,0.0
"Nyesel cuma belik 1, harga segitu kainnya bagus banget, gak bikin gerah.. aslikk..nyeselll... Next de beli lagi 💙",1.0
